,main_title,title,variable,value
273,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2001,0
274,12．予　　備　　費,12．予　　備　　費,2001,0
275,13．そ　　の　　他,13．そ　　の　　他,2001,114811714
276,３．防 衛 関 係 費,３．防 衛 関 係 費,2001,4993022486
277,９．国　　債　　費,９．国　　債　　費,2001,15828895417
278,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2001,0
279,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2001,0
280,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2001,0
281,12．予　　備　　費,12．予　　備　　費,2001,0
282,13．そ　　の　　他,13．そ　　の　　他,2001,114811714
283,３．防 衛 関 係 費,３．防 衛 関 係 費,2001,4993022486
284,９．国　　債　　費,９．国　　債　　費,2001,15828895417
285,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2001,0
286,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2001,0
287,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2001,0
288,12．予　　備　　費,12．予　　備　　費,2001,0
289,13．そ　　の　　他,13．そ　　の　　他,2001,114811714
290,１．国 家 機 関 費,皇室費,2002,7089358
291,１．国 家 機 関 費,国会費,2002,133486528
292,１．国 家 機 関 費,選挙費,2002,5853557
293,１．国 家 機 関 費,司法、警察及び消防費,2002,1386978225
294,１．国 家 機 関 費,外交費,2002,810000539
295,１．国 家 機 関 費,一般行政費,2002,1168330494
296,１．国 家 機 関 費,徴税費,2002,796890961
297,１．国 家 機 関 費,貨幣製造費,2002,0
298,２．地 方 財 政 費,地方財政調整費,2002,16479108000
299,２．地 方 財 政 費,元利補給,2002,0
300,２．地 方 財 政 費,その他,2002,21726094
301,４．国土保全及び開発費,国土保全費,2002,1491943715
302,４．国土保全及び開発費,国土開発費,2002,5995343956
303,４．国土保全及び開発費,災害対策費,2002,318527513
304,４．国土保全及び開発費,試験研究費,2002,31830630
305,４．国土保全及び開発費,その他,2002,125586115
306,５．産 業 経 済 費,農林水産業費,2002,1144369374
307,５．産 業 経 済 費,商工鉱業費,2002,1544218866
308,５．産 業 経 済 費,運輸通信費,2002,241109339
309,５．産 業 経 済 費,産業投資特別会計へ繰入,2002,2033555558
310,５．産 業 経 済 費,物資及び物価調整費,2002,457999862
311,６．教 育 文 化 費,学校教育費,2002,5498487609
312,６．教 育 文 化 費,社会教育及び文化費,2002,122132929
313,６．教 育 文 化 費,科学振興費,2002,829966014
314,６．教 育 文 化 費,災害対策費,2002,1833394
315,７．社会保障関係費,社会保険費,2002,14838713496
316,７．社会保障関係費,生活保護費,2002,1676919113
317,７．社会保障関係費,社会福祉費,2002,1862655899
318,７．社会保障関係費,住宅対策費,2002,992455170
319,７．社会保障関係費,失業対策費,2002,544600054
320,７．社会保障関係費,保健衛生費,2002,860047051
321,７．社会保障関係費,試験研究費,2002,97807442
322,７．社会保障関係費,災害対策費,2002,1316752
323,７．社会保障関係費,その他,2002,212029950
324,８．恩　　給　　費,文官恩給費,2002,51363993
325,８．恩　　給　　費,旧軍人遺族等恩給費,2002,1154019982
326,８．恩　　給　　費,その他,2002,75806086
327,３．防 衛 関 係 費,３．防 衛 関 係 費,2002,4943816744
328,９．国　　債　　費,９．国　　債　　費,2002,15600307856
329,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2002,0
330,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2002,0
331,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2002,0
332,12．予　　備　　費,12．予　　備　　費,2002,0
333,13．そ　　の　　他,13．そ　　の　　他,2002,116061688
334,３．防 衛 関 係 費,３．防 衛 関 係 費,2002,4943816744
335,９．国　　債　　費,９．国　　債　　費,2002,15600307856
336,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2002,0
337,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2002,0
338,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2002,0
339,12．予　　備　　費,12．予　　備　　費,2002,0
340,13．そ　　の　　他,13．そ　　の　　他,2002,116061688
341,３．防 衛 関 係 費,３．防 衛 関 係 費,2002,4943816744
342,９．国　　債　　費,９．国　　債　　費,2002,15600307856
343,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2002,0
344,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2002,0
345,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2002,0
346,12．予　　備　　費,12．予　　備　　費,2002,0
347,13．そ　　の　　他,13．そ　　の　　他,2002,116061688
348,１．国 家 機 関 費,皇室費,2003,6721568
349,１．国 家 機 関 費,国会費,2003,127362960
350,１．国 家 機 関 費,選挙費,2003,71775157
351,１．国 家 機 関 費,司法、警察及び消防費,2003,1390638515
352,１．国 家 機 関 費,外交費,2003,844190419
353,１．国 家 機 関 費,一般行政費,2003,1133725132
354,１．国 家 機 関 費,徴税費,2003,786365382
355,１．国 家 機 関 費,貨幣製造費,2003,21741568
356,２．地 方 財 政 費,地方財政調整費,2003,17398800109
357,２．地 方 財 政 費,元利補給,2003,0
358,２．地 方 財 政 費,その他,2003,28358256
359,４．国土保全及び開発費,国土保全費,2003,1532135722
360,４．国土保全及び開発費,国土開発費,2003,6279771313
361,４．国土保全及び開発費,災害対策費,2003,280161705
362,４．国土保全及び開発費,試験研究費,2003,43556664
363,４．国土保全及び開発費,その他,2003,112514562
364,５．産 業 経 済 費,農林水産業費,2003,1122007415
365,５．産 業 経 済 費,商工鉱業費,2003,1167016089
366,５．産 業 経 済 費,運輸通信費,2003,320667195
367,５．産 業 経 済 費,産業投資特別会計へ繰入,2003,102475841
368,５．産 業 経 済 費,物資及び物価調整費,2003,501129022
369,６．教 育 文 化 費,学校教育費,2003,5114354082
370,６．教 育 文 化 費,社会教育及び文化費,2003,159076242
371,６．教 育 文 化 費,科学振興費,2003,920011468
372,６．教 育 文 化 費,災害対策費,2003,1300835
373,７．社会保障関係費,社会保険費,2003,15145960692
374,７．社会保障関係費,生活保護費,2003,1810222567
375,７．社会保障関係費,社会福祉費,2003,1977605995
376,７．社会保障関係費,住宅対策費,2003,967276410
377,７．社会保障関係費,失業対策費,2003,38659756
378,７．社会保障関係費,保健衛生費,2003,848474351
379,７．社会保障関係費,試験研究費,2003,114087320
380,７．社会保障関係費,災害対策費,2003,2612688
381,７．社会保障関係費,その他,2003,212217618
382,８．恩　　給　　費,文官恩給費,2003,46737756
383,８．恩　　給　　費,旧軍人遺族等恩給費,2003,1089989785
384,８．恩　　給　　費,その他,2003,69667572
385,３．防 衛 関 係 費,３．防 衛 関 係 費,2003,4951477751
386,９．国　　債　　費,９．国　　債　　費,2003,15544023946
387,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2003,0
388,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2003,0
389,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2003,0
390,12．予　　備　　費,12．予　　備　　費,2003,0
391,13．そ　　の　　他,13．そ　　の　　他,2003,131099215
392,３．防 衛 関 係 費,３．防 衛 関 係 費,2003,4951477751
393,９．国　　債　　費,９．国　　債　　費,2003,15544023946
394,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2003,0
395,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2003,0
396,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2003,0
397,12．予　　備　　費,12．予　　備　　費,2003,0
398,13．そ　　の　　他,13．そ　　の　　他,2003,131099215
399,３．防 衛 関 係 費,３．防 衛 関 係 費,2003,4951477751
400,９．国　　債　　費,９．国　　債　　費,2003,15544023946
401,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2003,0
402,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2003,0
403,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2003,0
404,12．予　　備　　費,12．予　　備　　費,2003,0
405,13．そ　　の　　他,13．そ　　の　　他,2003,131099215
406,１．国 家 機 関 費,皇室費,2004,6965778
407,１．国 家 機 関 費,国会費,2004,127144108
408,１．国 家 機 関 費,選挙費,2004,61379786
409,１．国 家 機 関 費,司法、警察及び消防費,2004,1384424712
410,１．国 家 機 関 費,外交費,2004,905133307
411,１．国 家 機 関 費,一般行政費,2004,1170472827
412,１．国 家 機 関 費,徴税費,2004,787768965
413,１．国 家 機 関 費,貨幣製造費,2004,21023726
414,２．地 方 財 政 費,地方財政調整費,2004,17662126706
415,２．地 方 財 政 費,元利補給,2004,0
416,２．地 方 財 政 費,その他,2004,41358066
417,４．国土保全及び開発費,国土保全費,2004,1550967333
418,４．国土保全及び開発費,国土開発費,2004,5929070213
419,４．国土保全及び開発費,災害対策費,2004,385845654
420,４．国土保全及び開発費,試験研究費,2004,43629057
421,４．国土保全及び開発費,その他,2004,145983069
422,５．産 業 経 済 費,農林水産業費,2004,1178504622
423,５．産 業 経 済 費,商工鉱業費,2004,1215945264
424,５．産 業 経 済 費,運輸通信費,2004,341798431
425,５．産 業 経 済 費,産業投資特別会計へ繰入,2004,119168989
426,５．産 業 経 済 費,物資及び物価調整費,2004,392973859
427,６．教 育 文 化 費,学校教育費,2004,4851907469
428,６．教 育 文 化 費,社会教育及び文化費,2004,138226284
429,６．教 育 文 化 費,科学振興費,2004,925399214
430,６．教 育 文 化 費,災害対策費,2004,5409422
431,７．社会保障関係費,社会保険費,2004,15693864008
432,７．社会保障関係費,生活保護費,2004,1940892202
433,７．社会保障関係費,社会福祉費,2004,1843226968
434,７．社会保障関係費,住宅対策費,2004,941670565
435,７．社会保障関係費,失業対策費,2004,37297701
436,７．社会保障関係費,保健衛生費,2004,879994010
437,７．社会保障関係費,試験研究費,2004,107852938
438,７．社会保障関係費,災害対策費,2004,31627951
439,７．社会保障関係費,その他,2004,318548483
440,８．恩　　給　　費,文官恩給費,2004,42678127
441,８．恩　　給　　費,旧軍人遺族等恩給費,2004,1028766590
442,８．恩　　給　　費,その他,2004,63873689
443,３．防 衛 関 係 費,３．防 衛 関 係 費,2004,4921492949
444,９．国　　債　　費,９．国　　債　　費,2004,17514898571
445,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2004,0
446,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2004,0
447,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2004,0
448,12．予　　備　　費,12．予　　備　　費,2004,0
449,13．そ　　の　　他,13．そ　　の　　他,2004,137464675
450,３．防 衛 関 係 費,３．防 衛 関 係 費,2004,4921492949
451,９．国　　債　　費,９．国　　債　　費,2004,17514898571
452,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2004,0
453,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2004,0
454,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2004,0
455,12．予　　備　　費,12．予　　備　　費,2004,0
456,13．そ　　の　　他,13．そ　　の　　他,2004,137464675
457,３．防 衛 関 係 費,３．防 衛 関 係 費,2004,4921492949
458,９．国　　債　　費,９．国　　債　　費,2004,17514898571
459,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2004,0
460,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2004,0
